1538003342 : exit | void logicInterpreter.LogicElementsModels.CircuitSchemaBean.setName(String) | 0 
1538003342 : exit | CircuitSchemaBean logicInterpreter.Tools.DiagFileUtils.parseXMLDiagram(File) | 198 
1538003342 : exit | BlockBean logicInterpreter.Tools.DiagFileUtils.readTemplateBlockFile(String) | 367 
1538003342 : exit | void logicInterpreter.DiagramEditor.editor.DigitalCircuitEditor.fillPalette(DigitalCircuitEditor.PathPaletteGroup) | 508 
1538003342 : exit | Document logicInterpreter.Tools.DiagFileUtils.getDocument(Object) | 784 
1538003342 : exit | BlockBean logicInterpreter.Tools.DiagFileUtils.readTemplateBlockFile(String) | 1022 
1538003342 : exit | Document logicInterpreter.Tools.DiagFileUtils.getDocument(Object) | 663 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setName(String) | 15 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setType(String) | 0 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setFile(File) | 0 
1538003342 : exit | CircuitSchemaBean logicInterpreter.Tools.DiagFileUtils.parseXMLDiagram(File) | 3284 
1538003342 : exit | BlockBean logicInterpreter.Tools.DiagFileUtils.readTemplateBlockFile(String) | 3520 
1538003342 : exit | Document logicInterpreter.Tools.DiagFileUtils.getDocument(Object) | 760 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setName(String) | 39 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setType(String) | 0 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setFile(File) | 0 
1538003342 : exit | BlockBean logicInterpreter.Tools.DiagFileUtils.readTemplateBlockFile(String) | 8012 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setTemplateBlock(BlockBean) | 0 
1538003342 : exit | BlockInputBean logicInterpreter.LogicElementsModels.BlockBean.getInput(int) | 0 
1538003342 : exit | BlockInputBean logicInterpreter.LogicElementsModels.BlockBean.getInput(int) | 1 
1538003342 : exit | BlockInputBean logicInterpreter.LogicElementsModels.BlockBean.getInput(int) | 0 
1538003342 : exit | void logicInterpreter.LogicElementsModels.BlockBean.setBaseCellRect(Rectangle) | 23 
1538003342 : exit | BlockInputBean logicInterpreter.LogicElementsModels.BlockBean.getInput(int) | 1 
